34. CHEMICAL,40. CLASSIFICATION,41. METAL,43. CARCINOGEN,44. PBT,45. PFAS,47. UNIT OF MEASURE,48. 5.1 - FUGITIVE AIR,49. 5.2 - STACK AIR,50. 5.3 - WATER,51. 5.4 - UNDERGROUND,52. 5.4.1 - UNDERGROUND CL I,53. 5.4.2 - UNDERGROUND C II-V,54. 5.5.1 - LANDFILLS,55. 5.5.1A - RCRA C LANDFILL,56. 5.5.1B - OTHER LANDFILLS,57. 5.5.2 - LAND TREATMENT,58. 5.5.3 - SURFACE IMPNDMNT,59. 5.5.3A - RCRA SURFACE IM,60. 5.5.3B - OTHER SURFACE I,61. 5.5.4 - OTHER DISPOSAL,62. ON-SITE RELEASE TOTAL,63. 6.1 - POTW - TRNS RLSE,64. 6.1 - POTW - TRNS TRT,71. 6.2 - M71,72. 6.2 - M81,73. 6.2 - M82,74. 6.2 - M72,75. 6.2 - M63,76. 6.2 - M66,77. 6.2 - M67,78. 6.2 - M64,79. 6.2 - M65,80. 6.2 - M73,81. 6.2 - M79,82. 6.2 - M90,83. 6.2 - M94,84. 6.2 - M99,88. 6.2 - M26,91. OFF-SITE RECYCLED TOTAL,94. OFF-SITE ENERGY RECOVERY T,101. OFF-SITE TREATED TOTAL,103. 6.2 - TOTAL TRANSFER
"1,2-Butylene oxide",TRI,NO,YES,NO,NO,Pounds,1593.257,466.826,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2062.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1411.35,1411.35
"1,2-Dibromo-3-chloropropane",TRI,NO,YES,NO,NO,Pounds,0.002,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1,2-Dibromoethane",TRI,NO,YES,NO,NO,Pounds,79.64999999999999,473.86,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,114.66,205.66
"1,2-Dichloro-1,1,2-trifluoroethane (HCFC-123a)",TRI,NO,NO,NO,NO,Pounds,98091.076,370.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98461.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
"1,2-Dichloro-1,1-difluoroethane (HCFC-132b)",TRI,NO,NO,NO,NO,Pounds,565.0,22244.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1,2-Dichlorobenzene",TRI,NO,NO,NO,NO,Pounds,13351.42,7425.379999999999,5.0,0.0,23851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44632.799999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.02,0.0,0.0,0.0,0.0,0.0,0.0,14.0,151.0,380825.72,360812.87,741798.61
"1,2-Dichloroethane",TRI,NO,YES,NO,NO,Pounds,294892.396,115415.947,4022.142,0.0,24955.0,0.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,66.2,439354.78500000003,103.286,35.154,0.0,18694.017,0.0,0.0,0.0,0.0,0.0,136.45999999999998,297.519,0.0,0.0,62.0,1.0,14957.0,752120.7,752139.2,38187.01,10913719.284,11738384.776
"1,2-Dichloroethylene",TRI,NO,NO,NO,NO,Pounds,37719.62,4588.21,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42338.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,0.01,0.0,0.0,0.0,0.0,6728.0,742070.0,742070.0,1496.13,23546.66,773845.0599999999
"1,2-Dichloropropane",TRI,NO,YES,NO,NO,Pounds,10482.40008,7788.887,291.691,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18563.97808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.01,0.0,0.0,0.0,0.0,0.0,302451.0,302451.4283,1023.0,295494.024,598979.4623
"1,2-Diphenylhydrazine",TRI,NO,YES,NO,NO,Pounds,3.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1,2-Phenylenediamine",TRI,NO,YES,NO,NO,Pounds,80.57513,78.5444,0.1,0.0,2.047584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.267114,0.0168,0.0132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50046.6,67553.6532,117600.26999999999
"1,3-Butadiene",TRI,NO,YES,NO,NO,Pounds,367961.516,835646.9468,773.34,0.0,1118.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,364.240357,1205865.243157,13.439847,2.008253,0.0,328.0,0.0,0.0,0.0,0.0,0.0,1177.0,2.004,0.0,0.0,17.0,4139.0,0.0,11393.586,1542306.09372,591410.814,150020.864253,2292912.21582
"1,3-Dichlorobenzene",TRI,NO,NO,NO,NO,Pounds,3.00004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.00104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,137.0
"1,3-Dichloropropylene",TRI,NO,YES,NO,NO,Pounds,2623.004,791.02,3045.0,0.0,0.0,0.0,0.0,58000.0,0.0,0.0,0.0,0.0,0.0,0.0,64459.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18007.0,18007.0,0.0,14352.0,32359.0
"1,3-Phenylenediamine",TRI,NO,NO,NO,NO,Pounds,1367.21,340.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1707.6100000000001,15624.0,135050.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,541.3,58954.9,421038.86,498426.06
"1,3-Propane sultone",TRI,NO,YES,NO,NO,Pounds,1.33,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1,4-Dichloro-2-butene",TRI,NO,NO,NO,NO,Pounds,2433.004,12.01,98.0,0.0,3170.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5713.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75469.3,75469.3
