Chemical,Metal,Carcinogen,PBT,PFAS,Units,Air,Water,Landfill,Underground Wells,Land Treatment,Surface Impoundment,Recycled
Beryllium,YES,YES,NO,NO,Pounds,31.937,5.9,155299.4,0.0,0.0,0.0,194118.32
Beryllium  And Beryllium Compounds,YES,YES,NO,NO,Pounds,398.567,71.1,181183.81,2721.0,555.0,6465.2,11313.0
Beryllium compounds,YES,YES,NO,NO,Pounds,336.38079999999997,96.73,186331.33000000002,30.0,140.0,96880.64,12.0
Bifenthrin,NO,NO,NO,NO,Pounds,692.48,0.3,16949.69,0.0,0.0,0.0,0.0
Biphenyl,NO,NO,NO,NO,Pounds,121994.17585,56.032,49249.508,48730.737,0.0,0.0,47029.0
Bis(2-chloro-1-methylethyl) ether,NO,NO,NO,NO,Pounds,1154.0,317.0,4.001,0.0,0.0,0.0,0.0
Bis(2-chloroethoxy)methane,NO,NO,NO,NO,Pounds,113.68,0.0,0.0,0.0,0.0,0.0,0.0
Bis(2-chloroethyl) ether,NO,NO,NO,NO,Pounds,814.2359,4.05627,11.0,2.0,0.0,0.0,0.0
Bis(chloromethyl) ether,NO,YES,NO,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bis(tributyltin) oxide,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boron trichloride,NO,NO,NO,NO,Pounds,2462.7000000000003,0.0,0.0,0.0,0.0,0.0,2951.0
Boron trifluoride,NO,NO,NO,NO,Pounds,5555.179999999999,0.0,0.0,314893.0,0.0,0.0,0.0
Bromacil,NO,NO,NO,NO,Pounds,500.0,0.0,750.0,0.0,0.0,0.0,0.0
Bromine,NO,NO,NO,NO,Pounds,67761.0,40.0,40847.0,178.0,8.0,0.0,0.0
Bromochlorodifluoromethane (Halon 1211),NO,NO,NO,NO,Pounds,3480.0,0.0,0.0,0.0,0.0,0.0,0.0
Bromoform,NO,NO,NO,NO,Pounds,6727.0,0.0,0.0,0.0,0.0,0.0,0.0
Bromomethane,NO,NO,NO,NO,Pounds,280985.02300000004,52.0,3.0,210.0,0.0,0.0,0.0
Bromotrifluoromethane (Halon 1301),NO,NO,NO,NO,Pounds,14273.0,0.0,0.0,0.0,0.0,0.0,0.0
Bromoxynil,NO,NO,NO,NO,Pounds,265.02008,0.0,0.0,0.0,0.0,0.0,0.0
Bromoxynil octanoate,NO,NO,NO,NO,Pounds,224.79,0.0,2.0,0.0,0.0,0.0,0.0
Butyl acrylate,NO,NO,NO,NO,Pounds,187954.263017,70.86,39213.737,0.052,0.0,0.0,4430.7252
Butyraldehyde,NO,NO,NO,NO,Pounds,216333.146551,2212.0,190.019,32424.017,280.0,0.0,31927.6152
C.I. Basic Green 4,NO,NO,NO,NO,Pounds,5.0,0.0,0.0,0.0,0.0,0.0,0.0
C.I. Direct Blue 218,NO,NO,NO,NO,Pounds,6.0,4456.0,2228.0,0.0,0.0,0.0,0.0
C.I. Food Red 15,NO,NO,NO,NO,Pounds,10.0,0.0,0.0,0.0,0.0,0.0,0.0
C.I. Solvent Yellow 34,NO,YES,NO,NO,Pounds,3.014,0.0,0.0,0.0,0.0,0.0,0.0
Cadmium,YES,YES,NO,NO,Pounds,87.46083300000001,62.83,310231.6,4676.89,0.0,5e-05,49703.87
Cadmium  And Cadmium Compounds,YES,YES,NO,NO,Pounds,5198.916543,2243.0074000000004,2362323.07888,53658.0,0.0396,700286.1,260013.41
Cadmium compounds,YES,YES,NO,NO,Pounds,2656.9489999999996,335.77000000000004,506705.46499999997,253.3,3.0999999999999996,851621.0,919260.94
Calcium cyanamide,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Captan,NO,NO,NO,NO,Pounds,137.71901,5.0,37.18,0.0,0.0,0.0,5.0
Carbaryl,NO,NO,NO,NO,Pounds,198.162,5.0,120.80799999999999,0.007,0.0,0.0,0.0
Carbofuran,NO,NO,NO,NO,Pounds,0.010007,0.0,0.0,0.0,0.0,0.0,0.0
Carbon disulfide,NO,NO,NO,NO,Pounds,8312606.501,90008.281,577.977,1906.766,0.0,1.0026,2506.0
Carbon tetrachloride,NO,YES,NO,NO,Pounds,148226.763,119.205,228.93099999999998,14346.167,0.0,0.0,159462.44
Carbonyl sulfide,NO,NO,NO,NO,Pounds,10510540.958,655.0,142.0,1900.0,0.0,0.0,0.0
Carboxin,NO,NO,NO,NO,Pounds,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Catechol,NO,YES,NO,NO,Pounds,1492.68,7112.18,1612.8447,0.0,12.11444,83.37,0.0
Certain glycol ethers,NO,NO,NO,NO,Pounds,12934384.103944,22200.38,1354727.6939,876632.84,16111.4,52436.0,4967933.3618
Chlordane,NO,YES,YES,NO,Pounds,290.71362000000005,0.0,4395.786,0.015,0.0,0.0,605.0
Chlorimuron-ethyl,NO,NO,NO,NO,Pounds,182.41,0.0,12714.0,0.0,0.0,0.0,0.0
Chlorine,NO,NO,NO,NO,Pounds,5569871.218940001,192699.67307,3224074.5300000003,243671.0,5.0,114.0,648956.01
Chlorine dioxide,NO,NO,NO,NO,Pounds,501605.87,0.0,0.0,365.0,0.0,0.0,0.0
Chloroacetic acid,NO,NO,NO,NO,Pounds,8596.59,50.0,84.0,0.0,0.0,0.0,1376.1
Chlorobenzene,NO,NO,NO,NO,Pounds,565183.938,145.94,11379.355,92000.095,0.0,0.0,4515916.39
Chlorobenzilate,NO,NO,NO,NO,Pounds,3.014,0.0,0.0,0.0,0.0,0.0,0.0
Chlorodifluoromethane (HCFC-22),NO,NO,NO,NO,Pounds,1024512.0599999999,0.0,0.0,0.0,0.0,0.0,0.0
Chloroethane,NO,NO,NO,NO,Pounds,167011.9,318.0,1.0,0.0,0.0,5.0,2.0
Chloroform,NO,YES,NO,NO,Pounds,246852.247,5541.966,29525.798,23462.489999999998,0.0,0.0,102320.73
